Feature,real_mean,real_std,synth_mean,synth_std,KS_stat,KS_pval,mean_diff,std_diff
PM2.5,-0.05259306,0.9950018,-0.3688798,0.50229883,0.27,1.9464738383648577e-16,0.31628674,0.49270296
PM10,0.16093275,0.8033088,0.80889684,0.1732556,0.846,2.5283534106557656e-183,0.6479641,0.63005316
SO2,0.15028773,0.8377815,0.1832203,0.26650897,0.328,3.3583913478618886e-24,0.032932565,0.5712725
NO2,0.10071205,0.41854963,0.092486426,0.24275136,0.24,4.822737694311826e-13,0.008225627,0.17579827
CO,0.14676389,0.8513072,0.28555807,0.35550132,0.366,3.606743219136241e-30,0.13879418,0.4958059
O3,0.20978072,1.3359307,0.20887081,0.45188713,0.39,2.6058286498397183e-34,0.0009099096,0.8840436
Temperature,0.22655618,1.3582827,0.19763362,0.4037274,0.394,4.98054948987324e-35,0.028922558,0.9545553
Humidity,0.23366722,1.3800977,-0.052383773,0.52531284,0.554,6.629201522473907e-71,0.286051,0.8547849
Pressure,0.24713816,1.437981,-0.3066474,0.4721676,0.694,1.7319882558528332e-115,0.55378556,0.9658134
Wind_Speed,0.007906701,1.2914121,-0.061754905,0.20787589,0.6,4.896369547941309e-84,0.0696616,1.0835363
